epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,11102.2,0.50726,0.30333,1.04715,0.87558,0.80899,0.8519,0.68365,0.6957,0.54439,1.10483,4.75e-05,4.75e-05,4.75e-05
142,11180.1,0.50087,0.299,1.04381,0.85963,0.81857,0.84803,0.68008,0.69729,0.54573,1.1074,4.3375e-05,4.3375e-05,4.3375e-05
143,11257.8,0.49253,0.29694,1.03779,0.87279,0.80939,0.84844,0.68091,0.69623,0.54609,1.10642,3.925e-05,3.925e-05,3.925e-05
144,11335.4,0.49439,0.29416,1.03562,0.87459,0.80799,0.84557,0.6806,0.69282,0.54727,1.10068,3.5125e-05,3.5125e-05,3.5125e-05
145,11412.7,0.48653,0.2879,1.03436,0.87401,0.80336,0.84645,0.6814,0.69175,0.54772,1.09928,3.1e-05,3.1e-05,3.1e-05
146,11490.2,0.48735,0.28767,1.03051,0.87319,0.80577,0.84814,0.6846,0.69047,0.54447,1.09795,2.6875e-05,2.6875e-05,2.6875e-05
147,11567.5,0.48432,0.28406,1.02791,0.86959,0.80762,0.84932,0.6844,0.68956,0.54503,1.09687,2.275e-05,2.275e-05,2.275e-05
148,11644.8,0.48127,0.28247,1.02641,0.86502,0.80788,0.8496,0.68523,0.68938,0.54603,1.09675,1.8625e-05,1.8625e-05,1.8625e-05
149,11722.1,0.48464,0.28679,1.02727,0.85412,0.81832,0.84996,0.6867,0.68983,0.54796,1.0988,1.45e-05,1.45e-05,1.45e-05
150,11799.4,0.48329,0.28413,1.02865,0.85051,0.82001,0.85089,0.68795,0.68912,0.54702,1.09808,1.0375e-05,1.0375e-05,1.0375e-05
