epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.192,1.45468,2.43759,1.7498,0.41195,0.36817,0.3229,0.17409,1.56899,2.23314,1.98748,0.000207535,0.000207535,0.000207535
2,198.148,1.53985,2.19484,1.82999,0.53313,0.37052,0.36875,0.17962,1.78673,2.06258,2.13077,0.000413124,0.000413124,0.000413124
3,277.945,1.53291,2.20635,1.82845,0.25426,0.34134,0.26182,0.12845,1.7456,2.32271,2.12492,0.000615962,0.000615962,0.000615962
4,357.646,1.48754,2.14276,1.79688,0.64643,0.37679,0.37536,0.2032,1.55157,1.7824,1.96107,0.000612625,0.000612625,0.000612625
5,436.475,1.44281,2.00619,1.76788,0.73441,0.40507,0.45146,0.2701,1.45494,1.64697,1.83758,0.0006085,0.0006085,0.0006085
6,516.02,1.39762,1.90763,1.71775,0.63445,0.46194,0.47808,0.28988,1.35518,1.49252,1.73403,0.000604375,0.000604375,0.000604375
7,595.233,1.37414,1.83512,1.6944,0.59288,0.51281,0.54641,0.35694,1.24823,1.45353,1.64566,0.00060025,0.00060025,0.00060025
8,674.865,1.34689,1.73678,1.66372,0.70717,0.51675,0.55571,0.33001,1.36383,1.35516,1.73117,0.000596125,0.000596125,0.000596125
9,754.616,1.3123,1.68546,1.65067,0.78043,0.52974,0.59975,0.39997,1.15254,1.21527,1.56424,0.000592,0.000592,0.000592
10,834.493,1.29895,1.63475,1.63883,0.67056,0.59608,0.60586,0.3971,1.24264,1.18752,1.61854,0.000587875,0.000587875,0.000587875
11,914.598,1.28027,1.61703,1.63018,0.68601,0.55671,0.60409,0.39986,1.14713,1.24497,1.54325,0.00058375,0.00058375,0.00058375
12,993.292,1.2657,1.56635,1.60296,0.6966,0.58137,0.6448,0.44542,1.12046,1.12221,1.51097,0.000579625,0.000579625,0.000579625
13,1071.96,1.24593,1.52088,1.59357,0.63127,0.6268,0.63513,0.44622,1.06726,1.01765,1.45389,0.0005755,0.0005755,0.0005755
14,1150.83,1.22851,1.50241,1.57341,0.74606,0.57259,0.63577,0.44006,1.10251,1.02084,1.5021,0.000571375,0.000571375,0.000571375
15,1229.43,1.22905,1.45824,1.5712,0.67709,0.60894,0.65767,0.46497,1.06533,1.01742,1.46765,0.00056725,0.00056725,0.00056725
16,1308.15,1.19709,1.4309,1.55413,0.64795,0.64442,0.67386,0.44592,1.14692,0.94696,1.50552,0.000563125,0.000563125,0.000563125
17,1387.01,1.19073,1.40297,1.54935,0.64632,0.61599,0.65568,0.4483,1.06419,1.04769,1.48156,0.000559,0.000559,0.000559
18,1465.65,1.18632,1.37011,1.53491,0.66649,0.67967,0.68152,0.4799,1.03197,0.92704,1.43368,0.000554875,0.000554875,0.000554875
19,1544.65,1.161,1.33138,1.52175,0.75238,0.65736,0.70627,0.49887,0.96014,0.86267,1.36081,0.00055075,0.00055075,0.00055075
20,1623.38,1.16476,1.3266,1.52202,0.74939,0.68861,0.72519,0.51906,1.00303,0.88654,1.38845,0.000546625,0.000546625,0.000546625
21,1701.99,1.15999,1.32604,1.51562,0.73671,0.68377,0.70831,0.50444,0.99446,0.87301,1.3851,0.0005425,0.0005425,0.0005425
22,1780.52,1.14084,1.29186,1.50684,0.73569,0.68907,0.71965,0.50411,1.03476,0.84194,1.402,0.000538375,0.000538375,0.000538375
23,1859.26,1.13379,1.28909,1.49754,0.70195,0.69114,0.71339,0.52046,0.9593,0.82306,1.3736,0.00053425,0.00053425,0.00053425
24,1938.07,1.13952,1.26851,1.4978,0.71285,0.69569,0.74666,0.54001,0.97119,0.87655,1.36306,0.000530125,0.000530125,0.000530125
25,2016.54,1.13508,1.26524,1.49402,0.74361,0.70807,0.74268,0.52856,1.03763,0.8032,1.38065,0.000526,0.000526,0.000526
26,2094.11,1.10228,1.21047,1.47912,0.71827,0.71572,0.76276,0.55025,0.96351,0.8052,1.36743,0.000521875,0.000521875,0.000521875
27,2171.75,1.10123,1.20331,1.46331,0.74891,0.68886,0.74352,0.5367,0.9303,0.80522,1.34642,0.00051775,0.00051775,0.00051775
28,2249.73,1.09924,1.21633,1.46881,0.79775,0.69822,0.75965,0.56385,0.91459,0.7551,1.32109,0.000513625,0.000513625,0.000513625
29,2328.12,1.08812,1.17215,1.45158,0.80388,0.71729,0.77126,0.55734,0.98758,0.75473,1.35222,0.0005095,0.0005095,0.0005095
30,2406.2,1.07772,1.17274,1.45519,0.72367,0.65485,0.72426,0.53445,0.91169,0.77026,1.33108,0.000505375,0.000505375,0.000505375
31,2484.18,1.08952,1.16927,1.45354,0.78816,0.71321,0.77147,0.57463,0.90076,0.79418,1.314,0.00050125,0.00050125,0.00050125
32,2562.14,1.06842,1.14532,1.44434,0.79798,0.70394,0.76374,0.56054,0.90535,0.80083,1.31456,0.000497125,0.000497125,0.000497125
33,2639.52,1.07024,1.13058,1.43888,0.75532,0.70545,0.74769,0.55687,0.88154,0.75599,1.30364,0.000493,0.000493,0.000493
34,2716.84,1.05126,1.11448,1.43094,0.73176,0.74315,0.78434,0.58828,0.86241,0.71699,1.26108,0.000488875,0.000488875,0.000488875
