image_id,file,model,num_gt,num_pred,time_sec
239,000040_jpg.rf.bT4he29T80Fn7o8HeqTY.jpg,YOLO fine-tuned,1,3,0.628961
239,000040_jpg.rf.bT4he29T80Fn7o8HeqTY.jpg,OWL-ViT,1,1,0.127823
239,000040_jpg.rf.bT4he29T80Fn7o8HeqTY.jpg,OWLv2,1,3,0.298078
239,000040_jpg.rf.bT4he29T80Fn7o8HeqTY.jpg,Grounding DINO,1,20,0.425395
150,000006_jpg.rf.NA8irFPqWj5BQIEQqQKE.jpg,YOLO fine-tuned,1,5,0.020061
150,000006_jpg.rf.NA8irFPqWj5BQIEQqQKE.jpg,OWL-ViT,1,3,0.038669
150,000006_jpg.rf.NA8irFPqWj5BQIEQqQKE.jpg,OWLv2,1,4,0.197039
150,000006_jpg.rf.NA8irFPqWj5BQIEQqQKE.jpg,Grounding DINO,1,18,0.251231
222,000027_jpg.rf.ogYtV0FvHMVep2FtmJmi.jpg,YOLO fine-tuned,1,1,0.018908
222,000027_jpg.rf.ogYtV0FvHMVep2FtmJmi.jpg,OWL-ViT,1,2,0.039736
222,000027_jpg.rf.ogYtV0FvHMVep2FtmJmi.jpg,OWLv2,1,4,0.194577
222,000027_jpg.rf.ogYtV0FvHMVep2FtmJmi.jpg,Grounding DINO,1,31,0.243012
23,000034_jpg.rf.zonFoW0Q7zNo6xP2JNEX.jpg,YOLO fine-tuned,1,3,0.020111
23,000034_jpg.rf.zonFoW0Q7zNo6xP2JNEX.jpg,OWL-ViT,1,1,0.043736
23,000034_jpg.rf.zonFoW0Q7zNo6xP2JNEX.jpg,OWLv2,1,1,0.201316
23,000034_jpg.rf.zonFoW0Q7zNo6xP2JNEX.jpg,Grounding DINO,1,21,0.248065
162,000026_jpg.rf.SxA8QPjIvJ5JgrEShXoc.jpg,YOLO fine-tuned,1,2,0.083244
162,000026_jpg.rf.SxA8QPjIvJ5JgrEShXoc.jpg,OWL-ViT,1,1,0.041724
162,000026_jpg.rf.SxA8QPjIvJ5JgrEShXoc.jpg,OWLv2,1,3,0.194227
162,000026_jpg.rf.SxA8QPjIvJ5JgrEShXoc.jpg,Grounding DINO,1,15,0.330056
80,000030_jpg.rf.t5lebffhlSqr7r164T84.jpg,YOLO fine-tuned,4,10,0.077528
80,000030_jpg.rf.t5lebffhlSqr7r164T84.jpg,OWL-ViT,4,1,0.038590
80,000030_jpg.rf.t5lebffhlSqr7r164T84.jpg,OWLv2,4,38,0.194133
80,000030_jpg.rf.t5lebffhlSqr7r164T84.jpg,Grounding DINO,4,40,0.258634
102,000027_jpg.rf.LbsoxVoS003Wo58B8bJo.jpg,YOLO fine-tuned,3,8,0.019822
102,000027_jpg.rf.LbsoxVoS003Wo58B8bJo.jpg,OWL-ViT,3,4,0.038060
102,000027_jpg.rf.LbsoxVoS003Wo58B8bJo.jpg,OWLv2,3,10,0.196416
102,000027_jpg.rf.LbsoxVoS003Wo58B8bJo.jpg,Grounding DINO,3,34,0.250288
107,000032_jpg.rf.MWMxSQQlaYDVMRpkug8J.jpg,YOLO fine-tuned,1,2,0.019221
107,000032_jpg.rf.MWMxSQQlaYDVMRpkug8J.jpg,OWL-ViT,1,2,0.039499
107,000032_jpg.rf.MWMxSQQlaYDVMRpkug8J.jpg,OWLv2,1,2,0.196514
107,000032_jpg.rf.MWMxSQQlaYDVMRpkug8J.jpg,Grounding DINO,1,24,0.240672
93,000039_jpg.rf.KneEXJI4FKOrb2may25c.jpg,YOLO fine-tuned,7,9,0.079352
93,000039_jpg.rf.KneEXJI4FKOrb2may25c.jpg,OWL-ViT,7,20,0.039250
93,000039_jpg.rf.KneEXJI4FKOrb2may25c.jpg,OWLv2,7,20,0.198101
93,000039_jpg.rf.KneEXJI4FKOrb2may25c.jpg,Grounding DINO,7,34,0.303209
242,000046_jpg.rf.adzY4tN7tLZQvmVJReo0.jpg,YOLO fine-tuned,5,41,0.025412
242,000046_jpg.rf.adzY4tN7tLZQvmVJReo0.jpg,OWL-ViT,5,26,0.045621
242,000046_jpg.rf.adzY4tN7tLZQvmVJReo0.jpg,OWLv2,5,45,0.199315
242,000046_jpg.rf.adzY4tN7tLZQvmVJReo0.jpg,Grounding DINO,5,54,0.317128
202,000020_jpg.rf.a8WG5AxzIUK7Fsg9Xqg7.jpg,YOLO fine-tuned,1,2,0.080256
202,000020_jpg.rf.a8WG5AxzIUK7Fsg9Xqg7.jpg,OWL-ViT,1,1,0.039733
202,000020_jpg.rf.a8WG5AxzIUK7Fsg9Xqg7.jpg,OWLv2,1,5,0.195690
202,000020_jpg.rf.a8WG5AxzIUK7Fsg9Xqg7.jpg,Grounding DINO,1,11,0.280810
127,000019_jpg.rf.BROeQxfxMMjmCJTSuVuC.jpg,YOLO fine-tuned,1,1,0.079395
127,000019_jpg.rf.BROeQxfxMMjmCJTSuVuC.jpg,OWL-ViT,1,2,0.038857
127,000019_jpg.rf.BROeQxfxMMjmCJTSuVuC.jpg,OWLv2,1,1,0.195270
127,000019_jpg.rf.BROeQxfxMMjmCJTSuVuC.jpg,Grounding DINO,1,12,0.276016
234,000021_jpg.rf.b1rDbdW66H8Z7Rw4Mxg9.jpg,YOLO fine-tuned,1,1,0.019420
234,000021_jpg.rf.b1rDbdW66H8Z7Rw4Mxg9.jpg,OWL-ViT,1,10,0.040814
234,000021_jpg.rf.b1rDbdW66H8Z7Rw4Mxg9.jpg,OWLv2,1,3,0.200193
234,000021_jpg.rf.b1rDbdW66H8Z7Rw4Mxg9.jpg,Grounding DINO,1,30,0.273970
243,000036_jpg.rf.eeYHwfs8pRFD6kVwU0Pj.jpg,YOLO fine-tuned,1,1,0.025949
243,000036_jpg.rf.eeYHwfs8pRFD6kVwU0Pj.jpg,OWL-ViT,1,2,0.037350
243,000036_jpg.rf.eeYHwfs8pRFD6kVwU0Pj.jpg,OWLv2,1,2,0.195518
243,000036_jpg.rf.eeYHwfs8pRFD6kVwU0Pj.jpg,Grounding DINO,1,15,0.297648
30,000002_jpg.rf.3ivZ2dz8EypXKjwi2Mm4.jpg,YOLO fine-tuned,1,2,0.021324
30,000002_jpg.rf.3ivZ2dz8EypXKjwi2Mm4.jpg,OWL-ViT,1,3,0.042662
30,000002_jpg.rf.3ivZ2dz8EypXKjwi2Mm4.jpg,OWLv2,1,1,0.200689
30,000002_jpg.rf.3ivZ2dz8EypXKjwi2Mm4.jpg,Grounding DINO,1,23,0.247221
108,000008_jpg.rf.8gUhF2dN1QO2GptOCgQb.jpg,YOLO fine-tuned,1,14,0.018626
108,000008_jpg.rf.8gUhF2dN1QO2GptOCgQb.jpg,OWL-ViT,1,15,0.037303
108,000008_jpg.rf.8gUhF2dN1QO2GptOCgQb.jpg,OWLv2,1,26,0.197892
108,000008_jpg.rf.8gUhF2dN1QO2GptOCgQb.jpg,Grounding DINO,1,60,0.342146
35,000013_jpg.rf.1cZ0rM2R2tsCyyBq56Gm.jpg,YOLO fine-tuned,1,5,0.018897
35,000013_jpg.rf.1cZ0rM2R2tsCyyBq56Gm.jpg,OWL-ViT,1,2,0.038703
35,000013_jpg.rf.1cZ0rM2R2tsCyyBq56Gm.jpg,OWLv2,1,4,0.195970
35,000013_jpg.rf.1cZ0rM2R2tsCyyBq56Gm.jpg,Grounding DINO,1,17,0.286590
130,000023_jpg.rf.D3rRLdqE9Aal6ZOVapZv.jpg,YOLO fine-tuned,1,1,0.020087
130,000023_jpg.rf.D3rRLdqE9Aal6ZOVapZv.jpg,OWL-ViT,1,1,0.042950
130,000023_jpg.rf.D3rRLdqE9Aal6ZOVapZv.jpg,OWLv2,1,4,0.195061
130,000023_jpg.rf.D3rRLdqE9Aal6ZOVapZv.jpg,Grounding DINO,1,28,0.246931
34,000042_jpg.rf.2hzQxKkdeWW2V8VR63fQ.jpg,YOLO fine-tuned,1,1,0.018881
34,000042_jpg.rf.2hzQxKkdeWW2V8VR63fQ.jpg,OWL-ViT,1,3,0.038963
