image_id,file,model,num_gt,num_pred,time_sec
1322,Hammer (992)_JPEG.rf.VpkLAuKNBL33JlstWME8.JPEG,YOLO fine-tuned,1,7,0.567505
1322,Hammer (992)_JPEG.rf.VpkLAuKNBL33JlstWME8.JPEG,OWL-ViT,1,51,0.110034
1322,Hammer (992)_JPEG.rf.VpkLAuKNBL33JlstWME8.JPEG,OWLv2,1,26,0.200351
1322,Hammer (992)_JPEG.rf.VpkLAuKNBL33JlstWME8.JPEG,Grounding DINO,1,558,0.925680
3855,p--52-_jpg.rf.12rvqFd8bGEb5xU5NIT8.jpg,YOLO fine-tuned,1,1,0.020509
3855,p--52-_jpg.rf.12rvqFd8bGEb5xU5NIT8.jpg,OWL-ViT,1,26,0.039796
3855,p--52-_jpg.rf.12rvqFd8bGEb5xU5NIT8.jpg,OWLv2,1,13,0.184538
3855,p--52-_jpg.rf.12rvqFd8bGEb5xU5NIT8.jpg,Grounding DINO,1,124,0.477305
2383,p--14-_jpg.rf.EdzTBV6LdZjjdHr8f4RV.jpg,YOLO fine-tuned,1,1,0.023919
2383,p--14-_jpg.rf.EdzTBV6LdZjjdHr8f4RV.jpg,OWL-ViT,1,22,0.041319
2383,p--14-_jpg.rf.EdzTBV6LdZjjdHr8f4RV.jpg,OWLv2,1,6,0.188746
2383,p--14-_jpg.rf.EdzTBV6LdZjjdHr8f4RV.jpg,Grounding DINO,1,118,0.448025
2393,Hammer (2126)_JPEG.rf.42Sd73JHt5V83NUootIM.JPEG,YOLO fine-tuned,1,13,0.019804
2393,Hammer (2126)_JPEG.rf.42Sd73JHt5V83NUootIM.JPEG,OWL-ViT,1,21,0.038347
2393,Hammer (2126)_JPEG.rf.42Sd73JHt5V83NUootIM.JPEG,OWLv2,1,8,0.182594
2393,Hammer (2126)_JPEG.rf.42Sd73JHt5V83NUootIM.JPEG,Grounding DINO,1,622,0.880578
3352,000465_jpg.rf.SMf7SVUI70sNGeLW6ozl.jpg,YOLO fine-tuned,3,26,0.086069
3352,000465_jpg.rf.SMf7SVUI70sNGeLW6ozl.jpg,OWL-ViT,3,41,0.042924
3352,000465_jpg.rf.SMf7SVUI70sNGeLW6ozl.jpg,OWLv2,3,132,0.182278
3352,000465_jpg.rf.SMf7SVUI70sNGeLW6ozl.jpg,Grounding DINO,3,764,0.960448
1160,000524_jpg.rf.PUHBa9Uv0bIN3gDimbHp.jpg,YOLO fine-tuned,2,22,0.088148
1160,000524_jpg.rf.PUHBa9Uv0bIN3gDimbHp.jpg,OWL-ViT,2,53,0.039097
1160,000524_jpg.rf.PUHBa9Uv0bIN3gDimbHp.jpg,OWLv2,2,135,0.187268
1160,000524_jpg.rf.PUHBa9Uv0bIN3gDimbHp.jpg,Grounding DINO,2,818,0.890029
2474,000098_jpg.rf.xzRV5U6O6QhScxZKI84h.jpg,YOLO fine-tuned,1,3,0.080868
2474,000098_jpg.rf.xzRV5U6O6QhScxZKI84h.jpg,OWL-ViT,1,10,0.038609
2474,000098_jpg.rf.xzRV5U6O6QhScxZKI84h.jpg,OWLv2,1,15,0.184617
2474,000098_jpg.rf.xzRV5U6O6QhScxZKI84h.jpg,Grounding DINO,1,307,0.730033
5098,Wrench (179)_JPEG.rf.0T9a9UfXcLETXbMAulgD.JPEG,YOLO fine-tuned,1,5,0.078485
5098,Wrench (179)_JPEG.rf.0T9a9UfXcLETXbMAulgD.JPEG,OWL-ViT,1,68,0.039082
5098,Wrench (179)_JPEG.rf.0T9a9UfXcLETXbMAulgD.JPEG,OWLv2,1,88,0.183150
5098,Wrench (179)_JPEG.rf.0T9a9UfXcLETXbMAulgD.JPEG,Grounding DINO,1,626,0.872370
1618,Wrench (1058)_JPEG.rf.HaiglNq1IOQkTEERZGWy.JPEG,YOLO fine-tuned,2,10,0.078688
1618,Wrench (1058)_JPEG.rf.HaiglNq1IOQkTEERZGWy.JPEG,OWL-ViT,2,120,0.036509
1618,Wrench (1058)_JPEG.rf.HaiglNq1IOQkTEERZGWy.JPEG,OWLv2,2,68,0.184817
1618,Wrench (1058)_JPEG.rf.HaiglNq1IOQkTEERZGWy.JPEG,Grounding DINO,2,450,0.637912
4649,Wrench (526)_JPEG.rf.ZArCpH4X8LkMyfljmXR2.JPEG,YOLO fine-tuned,1,3,0.019221
4649,Wrench (526)_JPEG.rf.ZArCpH4X8LkMyfljmXR2.JPEG,OWL-ViT,1,4,0.035339
4649,Wrench (526)_JPEG.rf.ZArCpH4X8LkMyfljmXR2.JPEG,OWLv2,1,4,0.182598
4649,Wrench (526)_JPEG.rf.ZArCpH4X8LkMyfljmXR2.JPEG,Grounding DINO,1,119,0.631075
