image_id,file,model,num_gt,num_pred,time_sec
2077,000068_jpg.rf.dLuTal0gbWmoLac9w599.jpg,YOLO fine-tuned,1,1,0.614208
2077,000068_jpg.rf.dLuTal0gbWmoLac9w599.jpg,OWL-ViT,1,2,0.180304
2077,000068_jpg.rf.dLuTal0gbWmoLac9w599.jpg,OWLv2,1,1,0.331983
2077,000068_jpg.rf.dLuTal0gbWmoLac9w599.jpg,Grounding DINO,1,27,0.329096
585,000325_jpg.rf.8uJGPZAQ9xoegx8AsU8q.jpg,YOLO fine-tuned,1,3,0.019968
585,000325_jpg.rf.8uJGPZAQ9xoegx8AsU8q.jpg,OWL-ViT,1,2,0.036657
585,000325_jpg.rf.8uJGPZAQ9xoegx8AsU8q.jpg,OWLv2,1,2,0.182181
585,000325_jpg.rf.8uJGPZAQ9xoegx8AsU8q.jpg,Grounding DINO,1,23,0.237188
3066,Wrench (174)_JPEG.rf.aAKNmKvr5ImtVwWo8ne6.JPEG,YOLO fine-tuned,1,1,0.081439
3066,Wrench (174)_JPEG.rf.aAKNmKvr5ImtVwWo8ne6.JPEG,OWL-ViT,1,4,0.041623
3066,Wrench (174)_JPEG.rf.aAKNmKvr5ImtVwWo8ne6.JPEG,OWLv2,1,6,0.186132
3066,Wrench (174)_JPEG.rf.aAKNmKvr5ImtVwWo8ne6.JPEG,Grounding DINO,1,49,0.351087
465,Hammer (1149)_JPEG.rf.8qNP2Q2zXaqRj0PdNtXa.JPEG,YOLO fine-tuned,1,2,0.087299
465,Hammer (1149)_JPEG.rf.8qNP2Q2zXaqRj0PdNtXa.JPEG,OWL-ViT,1,1,0.040704
465,Hammer (1149)_JPEG.rf.8qNP2Q2zXaqRj0PdNtXa.JPEG,OWLv2,1,2,0.188178
465,Hammer (1149)_JPEG.rf.8qNP2Q2zXaqRj0PdNtXa.JPEG,Grounding DINO,1,29,0.339835
361,Hammer (2038)_JPEG.rf.81sVCzrcvyZSU8MO405H.JPEG,YOLO fine-tuned,1,39,0.093662
361,Hammer (2038)_JPEG.rf.81sVCzrcvyZSU8MO405H.JPEG,OWL-ViT,1,2,0.039289
